Targeton Name,Gene,Screen ID,Hdr Vector Lot,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA Vector Lot,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,D4R1 Mapped Reads,D4R2 Mapped Reads,D4R3 Mapped Reads,Average_mapped_reads,Comment,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
QPAT,DDX6,QPAT_2_scr172,QPAT_hdr530,2409.6,1.956,2.602,222,1.381972112,QPAT_gRNAvec104,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.9,28.1,27.8,27.93333333,,57.8,3720000,29760000,148.8,8312959.999,41.5648
RQJH,POLD1,RQJH_1_scr238,RQJH_hdr692,1647.9,1.98,2.648,342,3.113052977,RQJH_gRNAvec489,1151.3,1.921,2.183,575,3.745765656,0.342940932,43.6,41.6,42.5,42.56666667,,60.9,,,,,
RSDC,SMC1A,RSDC_1_scr240,RSDC_hdr523,1116.5,1.996,2.672,366,4.917151814,RSDC_gRNAvec731,882.8,1.908,2.162,540,4.587675578,0.47524137,26.7,27.9,28,27.53333333,,48.1,,,,,
RBMZ,SMC1A,RBMZ_1_scr188,RBMZ_hdr522,903.2,1.955,2.456,380,6.310894597,RBMZ_gRNAvec654,999.3,1.939,2.434,562,4.217952567,0.526442358,41.1,42.1,41.6,41.6,,58.1,,,,,
RVMB,SMC1A,RVMB_1_scr189,RVMB_hdr524,1056.7,1.949,2.424,525,7.452446295,RVMB_gRNAvec656,974.75,1.924,2.391,520,4.001025904,0.57267361,27.8,28.1,27,27.63333333,,53.35,,,,,
SHWH,DDX41,SHWH_1_scr153,SHWH_hdr454,2011.8,1.982,2.65,350,2.60960334,SHWH_gRNAvec105,1202.3,1.923,2.217,665,4.148299093,0.337895122,28.7,33.1,35.4,32.4,,,6083333.333,48666666.67,243.3333333,15768000,78.84
TNLV,DICER1,TNLV_1_scr192,TNLV_hdr577,1165.4,1.981,2.578,316,4.067273039,TNLV_gRNAvec667,1025.4,1.978,2.651,560,4.095962551,0.40816178,46.2,46.4,46.6,46.4,,66.15,,,,,
VDHJ,SMARCA2,VDHJ_1_scr140,VDHJ_hdr435,1238,1.908,2.327,530,6.421647819,VDHJ_gRNAvec107,,,,,,0.321082391,39.4,38.9,39.9,39.4,,,4430000,35440000,177.2,13963360,69.8168
XEDQ,FBXO11,XEDQ_1_scr162,XEDQ_hdr481,3988.3,2.026,2.752,118,0.443798109,XEDQ_gRNAvec651,1788.4,1.879,2.298,660,2.767837173,0.160581764,5,4.9,4.5,4.8,,43.65,3133333.333,25066666.67,125.3333333,1203200,6.016
XSQZ,CNOT3,XSQZ_2_scr231,XSQZ_hdr489,1258.4,1.998,2.645,178,2.121741894,XSQZ_gRNAvec678,,,,,,,42.9,42.4,41.7,42.33333333,,57.1,,,,,
YBNX,CREBBP,YBNX_1_scr164,YBNX_hdr490,4977.2,1.93,2.467,542,1.633448525,YBNX_gRNAvec653,,,,,,,46,46.2,44.8,45.66666667,,54.45,5341666.667,42733333.33,213.6666667,19514888.89,97.57444445
YJWX,MAP3K15,YJWX_1_scr224,YJWX_hdr628,837.9,1.972,2.664,238,4.260651629,YJWX_gRNAvec109,1058,1.918,2.209,665,4.714083176,0.44873674,19.7,19.3,17.9,18.96666667,,67.2,,,,,
YMXP,CHD3,YMXP_1_scr134,YMXP_hdr426,2634.6,1.92,2.31,680,3.871555454,YMXP_gRNAvec110,1106.9,1.92,2.224,815,5.522179059,0.469686726,33.3,32.9,33.6,33.26666667,,64.35,5330000,42640000,213.2,14184906.67,70.92453334
ZZNI,CHD8,ZZNI_1_scr131,ZZNI_hdr406,352.3,1.872,2.265,152,6.471757025,ZZNI_gRNAvec111,1490.6,1.982,2.342,550,2.76734201,0.461954952,39,40.7,42.5,40.73333333,,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
