Hdr Vector Lot,Date Maveqc,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,Evidence For Contamination
LYIV_hdr696,19/12/2024,Pass,0.158,21200648,17376618,0,2.9,29.8,67.3,99.5,8862,1319,0.1,Yes
MGTQ_hdr685,19/12/2024,Fail,0.996,20785668,17797912,0.2,3.3,49.2,47.3,99.6,5439,1549,60.2,No
MGTQ_hdr685,19/12/2024,Fail,0.996,20477182,17933250,0.2,3.3,48.4,48,99.2,5563,1549,60.8,No
MGTQ_hdr832,05/03/2025,Pass,0.12,11740308,9315222,0.3,10.8,19.7,69.1,98.9,4156,1549,0,No
MIJL_hdr796,27/02/2025,Pass,0.395,11716408,9552792,0.4,9.9,24.3,65.3,98.3,4632,1347,0,No
MJUX_hdr691,19/12/2024,Pass,0.251,19230807,14427610,0.1,5.2,40.8,53.9,98.2,4959,1569,0,Yes
MJUX_hdr691,19/12/2024,Pass,0.251,20268737,15719078,0,5.2,41,53.7,95.7,5381,1569,0,Yes
MMLA_hdr709,17/01/2025,Pass,0.235,37637334,32816835,0,4.7,23.9,71.4,98.7,10480,2235,0.1,Yes
MMLA_hdr709,17/01/2025,Pass,0.235,39212358,34484118,0,4.6,25.7,69.7,97.5,10760,2235,0.1,Yes
MOPR_hdr797,27/02/2025,Pass,0.227,11442545,8618347,0.2,12.2,14.9,72.7,99.2,3627,1727,0.1,No
MUEC_hdr798,27/02/2025,Pass,0.111,11653635,8971428,0.2,10.7,18.7,70.4,99.1,4987,1266,0,No
MXXP_hdr439,28/05/2024,Pass,0.336,21351760,17853176,0.3,9.6,37.7,52.4,95.5,6316,1480,0,No
MXXP_hdr439,04/06/2024,Pass,0.334,49205414,42115989,0.3,9.9,35.6,54.3,98.4,15445,1480,0,No
MXXP_hdr482,11/07/2024,Pass,0.34,35880043,29386147,0.3,9.8,35.5,54.3,97.7,10787,1480,0,No
MXXP_hdr482,11/07/2024,Pass,0.342,36895695,33193716,0.3,10.3,33.3,56.1,98.8,12594,1480,0,No
NBXL_hdr467,01/07/2024,Pass,0.169,10626725,8503409,0.1,1.8,25.3,72.8,98.8,4752,1303,0,No
NDEU_hdr799,27/02/2025,Pass,0.271,11642628,8587771,0.1,15.2,13.8,70.8,98.2,3284,1852,0,No
NLVE_hdr468,01/07/2024,Pass,0.228,15385794,12457532,0.1,4.6,36.5,58.8,96.9,7565,968,0,No
NMAL_hdr800,27/02/2025,Pass,0.142,11814629,9194659,0.2,6.9,10.3,82.6,98.5,3749,2024,0,No
NQBU_hdr469,01/07/2024,Pass,0.153,13003865,10461769,0,5.1,23.9,71,98.8,4541,1635,0,No
NSTW_hdr807,27/02/2025,Pass,0.225,11759869,9554737,0.3,9.7,19.4,70.7,98,6157,1097,0,No
NTYK_hdr714,17/01/2025,Pass,0.283,23243844,20790088,4.1,9.7,24.1,62,98,5563,2318,0.1,Yes
NTYK_hdr714,17/01/2025,Pass,0.283,24023835,21714013,4,9.5,25.8,60.6,96.5,5680,2318,0.1,Yes
NUIB_hdr470,01/07/2024,Pass,0.195,14832316,12021369,0.1,1.9,31.9,66.1,98.6,5137,1546,0,No
NVZP_hdr398,17/05/2024,Fail,0.153,23277987,20256965,2.5,5,52.2,40.4,78.6,10007,817,0,No
NVZP_hdr398,17/05/2024,Fail,0.153,22684050,19728518,2.4,4.9,53.4,39.3,77.6,9483,817,0,No
NVZP_hdr398,28/05/2024,Fail,0.153,35826007,32424739,1.9,3.6,63.9,30.6,74,12159,817,0,No
NVZP_hdr398,04/06/2024,Pass,0.117,39759081,35245662,0,2.9,30,67.1,85.8,28929,817,0,No
NVZP_hdr398,04/06/2024,Pass,0.149,31277842,27893459,3.4,6.3,36.1,54.2,92,18518,817,0,No
OBCF_hdr712,17/01/2025,Pass,0.289,32630306,27864521,0.4,8,30.4,61.2,98.3,11162,1528,0,Yes
OBCF_hdr712,17/01/2025,Pass,0.289,35528407,30724145,0.4,7.7,33.3,58.7,96.3,11800,1528,0,Yes
OJTT_hdr471,01/07/2024,Fail,0.999,2827134,51704,0,0,82.3,17.7,99.8,6,1415,99.9,No
OJTT_hdr542,09/09/2024,Fail,,0,,0,0,,0,,,,,
OJTT_hdr836,05/03/2025,Pass,0.168,11861819,10263399,1.1,7.6,26.5,64.8,99.3,4703,1415,0,No
OKCS_hdr681,19/12/2024,Pass,0.151,20899422,17220937,0.4,3.6,35.9,60.1,97.9,8257,1253,0,Yes
OKCS_hdr681,19/12/2024,Pass,0.153,20440651,16402276,0.4,3.7,35.9,60,98.9,7859,1253,0,Yes
OLYL_hdr016,04/06/2024,Fail,0.325,27706443,22297893,0.2,9.4,41.1,49.3,99,7716,1425,0,No
OLYL_hdr444,01/07/2024,Pass,0.321,10592858,8093240,0.3,10.5,35,54.2,99.5,3081,1425,0,No
ONKK_hdr689,19/12/2024,Pass,0.279,28360323,24279450,0,9.8,32.4,57.8,97.4,7919,1771,0,Yes
ONKK_hdr689,19/12/2024,Pass,0.28,29083641,24480879,0,10,31.4,58.6,98.6,8102,1771,0,Yes
OPFB_hdr808,27/02/2025,Pass,0.093,11714518,8919844,0.5,12.6,13.4,73.5,99.1,3243,2022,0,No
OQIU_hdr725,17/01/2025,Pass,0.168,26308466,23245605,8.5,2.9,26.9,61.8,99.3,10768,1333,0,Yes
OQIU_hdr725,17/01/2025,Pass,0.168,31064741,27833438,8.5,2.9,26.6,62,98.6,12944,1333,0,Yes
ORCS_hdr809,27/02/2025,Pass,0.227,11752174,8911397,0.3,11.8,19.4,68.5,98.8,3702,1649,0,No
OSVW_hdr727,17/01/2025,Pass,0.199,27734566,24027640,0,5.1,35.6,59.3,98.9,12421,1147,0,Yes
OSVW_hdr727,17/01/2025,Pass,0.199,31868212,28081584,0,5,36.4,58.6,98.2,14335,1147,0,Yes
OTIV_hdr711,17/01/2025,Pass,0.219,28847552,25922043,0.1,5.5,20.5,73.9,98.2,10973,1746,0,Yes
OTIV_hdr711,17/01/2025,Pass,0.219,31782103,28884066,0.1,5.4,22,72.6,97,12006,1746,0,Yes
OYGN_hdr453,01/07/2024,Pass,0.296,16689451,13928395,0,5.8,32.2,62,98,6481,1332,0,No
OYPK_hdr017,04/06/2024,Pass,0.277,25695402,21870760,0.4,10.5,29.9,59.2,98.5,8899,1455,0,No
PBTD_hdr409,17/05/2024,Fail,0.187,32242470,27089687,0.3,7.6,51.9,40.2,80.5,8551,1274,0.1,No
